"","tripduration","starttime","stoptime","start.station.id","start.station.name","start.station.latitude","start.station.longitude","end.station.id","end.station.name","end.station.latitude","end.station.longitude","bikeid","usertype","birth.year","gender","season","DATE","STATION","NAME","PRCP","SNOW","SNWD","TMAX","TMIN"
"1",999,"2019-01-15 20:05:51.3240","2019-01-15 20:22:30.6710","330","Reade St & Broadway",40.71450451,-74.00562789,"161","LaGuardia Pl & W 3 St",40.72917025,-73.99810231,15489,"Customer",1958,1,"winter","2019-01-15","USW00094728","NY CITY CENTRAL PARK, NY US",0,0,0,2.2,-3.8
"2",276,"2019-01-05 14:57:04.3990","2019-01-05 15:01:40.7370","3709","W 15 St & 6 Ave",40.7380461424828,-73.996429592371,"368","Carmine St & 6 Ave",40.73038599,-74.00214988,15429,"Subscriber",1959,1,"winter","2019-01-05","USW00094728","NY CITY CENTRAL PARK, NY US",12.7,0,0,8.3,5
"3",372,"2019-01-22 08:54:11.2350","2019-01-22 09:00:23.3460","3118","McGuinness Blvd & Eagle St",40.73555,-73.95284,"3110","Meserole Ave & Manhattan Ave",40.72708584,-73.95299117,14702,"Subscriber",1967,2,"winter","2019-01-22","USW00094728","NY CITY CENTRAL PARK, NY US",0,0,0,-0.5,-10.5
"4",539,"2019-01-01 01:33:02.1470","2019-01-01 01:42:01.7700","326","E 11 St & 1 Ave",40.72953837,-73.98426726,"307","Canal St & Rutgers St",40.71427487,-73.98990025,27844,"Subscriber",1977,1,"winter","2019-01-01","USW00094728","NY CITY CENTRAL PARK, NY US",1.5,0,0,14.4,3.9
"5",824,"2019-01-17 18:23:01.2980","2019-01-17 18:36:46.2940","491","E 24 St & Park Ave S",40.74096374,-73.98602213,"477","W 41 St & 8 Ave",40.75640548,-73.9900262,31176,"Subscriber",1958,1,"winter","2019-01-17","USW00094728","NY CITY CENTRAL PARK, NY US",0,0,0,0.6,-4.3
"6",533,"2019-01-18 06:29:34.8040","2019-01-18 06:38:28.6590","523","W 38 St & 8 Ave",40.75466591,-73.99138152,"491","E 24 St & Park Ave S",40.74096374,-73.98602213,28597,"Subscriber",1965,2,"winter","2019-01-18","USW00094728","NY CITY CENTRAL PARK, NY US",1.3,13,30,3.9,-1.6
"7",675,"2019-01-27 09:17:58.6440","2019-01-27 09:29:13.7480","3357","W 106 St & Amsterdam Ave",40.8008363,-73.9664492472,"3171","Amsterdam Ave & W 82 St",40.78524672,-73.97667321,35290,"Subscriber",1989,2,"winter","2019-01-27","USW00094728","NY CITY CENTRAL PARK, NY US",0,0,0,9.4,0
"8",782,"2019-01-19 13:10:46.6510","2019-01-19 13:23:49.1990","481","S 3 St & Bedford Ave",40.71260486,-73.96264403,"410","Suffolk St & Stanton St",40.72066442,-73.98517977,35787,"Subscriber",1989,1,"winter","2019-01-19","USW00094728","NY CITY CENTRAL PARK, NY US",7.4,5,0,2.8,0
"9",518,"2019-01-06 10:21:35.3730","2019-01-06 10:30:14.2800","3121","Jackson Ave & 46 Rd",40.74524768,-73.94733276,"3556","24 St & 41 Ave",40.7527085,-73.9397405,33574,"Subscriber",1993,1,"winter","2019-01-06","USW00094728","NY CITY CENTRAL PARK, NY US",0,0,0,9.4,-0.5
"10",3260,"2019-01-11 15:36:39.4830","2019-01-11 16:31:00.1030","439","E 4 St & 2 Ave",40.7262807,-73.98978041,"303","Mercer St & Spring St",40.72362738,-73.99949601,34694,"Subscriber",1960,1,"winter","2019-01-11","USW00094728","NY CITY CENTRAL PARK, NY US",0,0,0,-1,-6
"11",650,"2019-01-26 17:15:22.7360","2019-01-26 17:26:12.9740","297","E 15 St & 3 Ave",40.734232,-73.986923,"531","Forsyth St & Broome St",40.71893904,-73.99266288,32891,"Subscriber",1988,2,"winter","2019-01-26","USW00094728","NY CITY CENTRAL PARK, NY US",0,0,0,1.7,-4.3
"12",331,"2019-01-03 19:52:44.5430","2019-01-03 19:58:16.3950","3242","Schermerhorn St & Court St",40.6910292567797,-73.991833627224,"3303","Butler St & Court St",40.6849894,-73.99440329,32866,"Subscriber",1988,1,"winter","2019-01-03","USW00094728","NY CITY CENTRAL PARK, NY US",0,0,0,6.7,2.8
"13",348,"2019-01-27 13:27:34.0160","2019-01-27 13:33:22.7900","285","Broadway & E 14 St",40.73454567,-73.99074142,"3711","E 13 St & Avenue A",40.7296672939298,-73.9806796610355,34161,"Subscriber",1992,2,"winter","2019-01-27","USW00094728","NY CITY CENTRAL PARK, NY US",0,0,0,9.4,0
"14",2025,"2019-01-19 15:51:13.5740","2019-01-19 16:24:59.1720","331","Pike St & Monroe St",40.71173107,-73.99193043,"3356","Amsterdam Ave & W 66 St",40.7746671,-73.98470567,35720,"Subscriber",1980,1,"winter","2019-01-19","USW00094728","NY CITY CENTRAL PARK, NY US",7.4,5,0,2.8,0
"15",120,"2019-01-15 12:16:14.5070","2019-01-15 12:18:14.6640","390","Duffield St & Willoughby St",40.69221589,-73.9842844,"3232","Bond St & Fulton St",40.6896218879033,-73.9830426871777,32555,"Subscriber",1976,1,"winter","2019-01-15","USW00094728","NY CITY CENTRAL PARK, NY US",0,0,0,2.2,-3.8
"16",889,"2019-01-06 22:26:19.3070","2019-01-06 22:41:09.0320","530","11 Ave & W 59 St",40.7714967105444,-73.9904603362083,"385","E 55 St & 2 Ave",40.75797322,-73.96603308,25360,"Subscriber",1968,1,"winter","2019-01-06","USW00094728","NY CITY CENTRAL PARK, NY US",0,0,0,9.4,-0.5
